,country,year,gdp_per_capita ($),suicides/100k pop,suicides/100k pop,suicides_no,suicides_no
55,Argentina,1991,6404,23.81,95.42999999999999,499,1452
56,Argentina,1992,7615,22.93,103.92999999999999,504,1680
57,Argentina,1993,7768,23.25,111.52,493,1737
58,Argentina,1994,8328,20.72,101.33,510,1731
59,Argentina,1995,8232,21.7,98.27,504,1700
60,Argentina,1996,8563,22.8,95.23,532,1697
61,Argentina,1997,9057,21.26,90.14,539,1645
62,Argentina,1998,9126,20.97,95.96,526,1821
63,Argentina,1999,8546,18.87,98.32,493,1930
64,Argentina,2000,8462,20.07,111.32000000000001,550,2224
65,Argentina,2001,7900,24.46,119.1,676,2456
66,Argentina,2002,2840,25.32,114.10000000000001,703,2459
67,Argentina,2003,3668,24.740000000000002,121.55,684,2605
68,Argentina,2004,4683,22.5,108.56,654,2467
69,Argentina,2005,5590,23.24,104.94,664,2394
70,Argentina,2006,6475,19.64,108.58,612,2496
71,Argentina,2007,7918,19.07,99.28,600,2346
72,Argentina,2008,9843,19.21,98.89999999999999,611,2448
73,Argentina,2009,8961,17.81,89.51,584,2300
74,Argentina,2010,11273,17.4,93.84,566,2377
75,Argentina,2011,13946,17.54,88.33,583,2329
76,Argentina,2012,14203,18.77,101.05,628,2620
77,Argentina,2013,14206,17.32,86.1,589,2398
78,Argentina,2014,13400,19.48,91.87,687,2544
79,Argentina,2015,14981,17.259999999999998,94.87,604,2469
80,Armenia,1990,756,11.32,29.8,29,64
81,Armenia,1991,640,11.66,34.21,26,54
82,Armenia,1992,385,9.35,31.509999999999998,19,64
83,Armenia,1993,357,20.6,30.45,35,71
84,Armenia,1994,387,19.48,47.25,36,76
85,Armenia,1995,426,13.879999999999999,37.91,35,95
86,Armenia,1996,458,7.05,30.0,24,63
87,Armenia,1997,465,9.42,22.81,15,62
88,Armenia,1998,532,6.26,21.16,18,48
89,Armenia,1999,515,9.76,14.92,18,49
90,Armenia,2000,530,10.5,23.8,14,47
91,Armenia,2001,587,8.3,21.48,12,48
92,Armenia,2002,788,4.97,33.1,12,62
93,Armenia,2003,928,6.6,26.830000000000002,9,50
94,Armenia,2006,2310,7.930000000000001,35.74,17,61
95,Armenia,2007,3366,7.42,31.599999999999998,20,51
96,Armenia,2008,3829,5.62,29.53,19,44
97,Armenia,2009,3215,4.38,29.32,10,43
98,Armenia,2010,3460,8.74,31.67,19,54
99,Armenia,2011,3798,10.34,22.64,16,51
100,Armenia,2012,3773,8.7,27.87,20,59
101,Armenia,2013,3957,12.059999999999999,25.419999999999998,24,43
102,Armenia,2014,4142,9.44,27.57,15,43
103,Armenia,2015,3775,9.76,35.519999999999996,19,55
104,Armenia,2016,3788,5.87,34.69,14,53
105,Aruba,1995,17949,0.0,308.51,0,8
106,Aruba,1999,21027,0.0,115.47,0,9
107,Aruba,2000,22333,146.22,159.10999999999999,4,6
108,Aruba,2001,22317,0.0,27.28,0,4
109,Aruba,2002,21987,0.0,126.46000000000001,0,9
110,Aruba,2003,22345,0.0,12.93,0,2
111,Aruba,2004,24133,15.04,161.68,1,7
112,Aruba,2005,24870,52.22,47.36,5,5
113,Aruba,2006,25622,10.93,85.38,2,7
114,Aruba,2007,27672,11.17,81.02,1,7
115,Aruba,2008,29447,5.5,35.940000000000005,1,3
116,Aruba,2009,26361,0.0,42.230000000000004,0,4
117,Aruba,2010,25974,9.82,48.83,1,6
118,Aruba,2011,27066,25.450000000000003,67.97,2,7
119,Australia,1985,12374,36.3,127.11,425,1436
120,Australia,1986,12288,35.379999999999995,140.41,463,1581
121,Australia,1987,12564,35.629999999999995,153.19,437,1727
122,Australia,1988,15393,36.5,142.82,460,1712
123,Australia,1989,19223,32.49,135.62,424,1642
124,Australia,1990,19665,34.019999999999996,138.33,444,1758
125,Australia,1991,20320,35.69,144.46,482,1806
126,Australia,1992,20050,35.35,135.29,465,1786
127,Australia,1993,19030,28.2,126.75,398,1640
128,Australia,1994,19469,29.09,138.66,418,1865
129,Australia,1995,21902,30.54,124.65,459,1711
130,Australia,1996,23526,29.97,145.37,460,1966
131,Australia,1997,25234,36.52,150.41,557,2089
132,Australia,1998,22897,34.2,142.21,524,2108
133,Australia,1999,22016,29.6,137.54999999999998,489,1999
134,Australia,2000,23219,31.34,126.48,505,1886
135,Australia,2001,20860,31.53,127.26,522,1936
136,Australia,2002,21474,30.1,114.58,506,1813
137,Australia,2003,25059,26.98,106.86,471,1685
138,Australia,2004,32454,26.43,107.33,442,1672
139,Australia,2006,39014,28.67,99.22,494,1623
140,Australia,2007,43171,28.73,101.52,530,1699
141,Australia,2008,52315,26.2,104.28999999999999,508,1833
142,Australia,2009,45128,29.52,100.6,552,1785
143,Australia,2010,54887,29.07,103.57000000000001,553,1867
144,Australia,2011,66770,30.64,102.58,580,1812
145,Australia,2012,72669,34.01,105.56,650,1930
146,Australia,2013,72856,33.08,105.7,664,1944
147,Australia,2014,66809,34.88,114.19,709,2182
148,Australia,2015,60656,35.94,118.24,735,2292
149,Austria,1985,9759,96.99,287.82,624,1467
150,Austria,1986,13911,98.65,303.15,628,1511
151,Austria,1987,17415,99.23,306.65,624,1445
152,Austria,1988,18663,83.41,274.23,529,1322
153,Austria,1989,18544,94.37,264.95,585,1313
154,Austria,1990,23020,87.31,266.47,541,1284
155,Austria,1991,23808,73.36,282.11,470,1299
156,Austria,1992,26450,74.04,267.7,477,1282
157,Austria,1993,25611,71.73,276.23,460,1244
158,Austria,1994,27274,76.36,267.26,491,1285
159,Austria,1995,32237,71.34,276.75,455,1333
160,Austria,1996,31660,70.1,272.55,443,1336
161,Austria,1997,28325,62.63,234.87,417,1175
162,Austria,1998,28972,57.73,231.65,382,1177
163,Austria,1999,28722,65.94,214.35999999999999,429,1126
164,Austria,2000,25922,63.94,225.83,432,1156
165,Austria,2001,25848,60.0,201.91,408,1081
166,Austria,2002,27772,51.88,225.04,363,1190
167,Austria,2003,33889,55.62,201.44,388,1068
168,Austria,2004,38711,49.09,204.95,346,1076
169,Austria,2005,40367,49.84,185.41,350,1049
170,Austria,2006,42698,43.120000000000005,175.78,297,1000
171,Austria,2007,49218,45.48,171.82999999999998,317,968
172,Austria,2008,54294,41.98,174.47,304,963
173,Austria,2009,50356,41.69,171.53,306,972
174,Austria,2010,49181,39.71,167.84,294,970
175,Austria,2011,53923,41.92,169.57000000000002,313,975
176,Austria,2012,50979,39.839999999999996,166.79,289,987
177,Austria,2013,53229,43.49,168.63,324,967
178,Austria,2014,54278,44.12,165.70000000000002,324,990
179,Austria,2015,46484,39.14,155.48,290,961
180,Austria,2016,46976,37.6,145.63,295,906
181,Azerbaijan,1990,1439,6.14,18.47,25,89
182,Azerbaijan,1991,1398,6.15,26.08,32,102
183,Azerbaijan,1992,784,10.99,23.79,38,106
184,Azerbaijan,1993,617,9.35,22.17,36,83
185,Azerbaijan,1994,508,4.05,7.99,19,28
186,Azerbaijan,1995,462,1.9,12.38,7,42
187,Azerbaijan,1996,476,4.7700000000000005,13.06,13,56
188,Azerbaijan,1997,590,3.24,15.35,21,86
189,Azerbaijan,1998,631,4.08,6.59,15,41
190,Azerbaijan,1999,645,1.48,7.1000000000000005,10,44
191,Azerbaijan,2000,711,4.4799999999999995,9.93,16,46
192,Azerbaijan,2001,759,18.66,41.39,81,236
193,Azerbaijan,2002,820,3.82,15.6,19,73
194,Azerbaijan,2003,948,8.6,18.47,36,93
195,Azerbaijan,2004,1122,8.32,10.01,30,78
196,Azerbaijan,2007,4172,2.32,9.51,14,41
197,Bahamas,1985,11393,0.0,4.76,0,1
198,Bahamas,1987,12286,0.0,13.59,0,3
199,Bahamas,1993,12698,8.4,29.11,1,6
200,Bahamas,1994,13073,0.0,10.6,0,3
201,Bahamas,1995,13473,0.0,7.16,0,2
202,Bahamas,1996,14297,0.0,9.82,0,3
203,Bahamas,1997,24740,0.0,7.15,0,2
204,Bahamas,1998,26269,0.0,11.09,0,3
205,Bahamas,1999,29019,3.94,19.02,1,5
206,Bahamas,2000,29942,10.35,30.310000000000002,2,9
207,Bahamas,2001,30122,0.0,2.68,0,1
208,Bahamas,2002,31432,0.0,9.969999999999999,0,3
209,Bahamas,2003,30704,0.0,2.49,0,1
210,Bahamas,2004,30671,0.0,5.93,0,2
211,Bahamas,2005,32596,3.72,9.6,1,3
212,Bahamas,2006,32957,0.0,5.640000000000001,0,2
213,Bahamas,2007,33710,2.04,11.38,1,4
214,Bahamas,2008,32746,0.0,12.49,0,4
215,Bahamas,2009,30450,1.93,14.05,1,5
216,Bahamas,2010,30239,12.15,46.17,4,6
217,Bahamas,2011,29761,3.43,9.559999999999999,1,3
218,Bahamas,2012,31204,1.84,10.0,1,4
219,Bahamas,2013,30455,1.83,12.08,1,4
220,Bahrain,1985,9980,3.72,16.4,1,10
221,Bahrain,1987,9321,6.23,19.450000000000003,2,7
222,Bahrain,1988,9501,3.24,21.56,1,13
223,Bahrain,1997,11985,0.0,0.0,0,0
224,Bahrain,1998,11325,0.0,0.0,0,0
225,Bahrain,1999,11703,5.569999999999999,16.89,3,14
226,Bahrain,2000,15345,1.88,30.85,1,28
227,Bahrain,2001,14383,5.09,25.57,3,20
228,Bahrain,2002,14572,10.75,16.93,7,18
229,Bahrain,2003,15756,7.89,24.5,5,29
230,Bahrain,2004,17497,9.74,44.47,7,35
231,Bahrain,2005,19485,9.33,30.89,7,35
232,Bahrain,2006,20826,13.56,13.62,11,17
233,Bahrain,2007,22524,6.61,25.48,6,34
234,Bahrain,2008,25106,8.67,19.22,8,35
235,Bahrain,2009,20988,5.699999999999999,18.89,6,30
236,Bahrain,2010,22572,3.79,8.1,4,15
237,Bahrain,2011,26078,6.2700000000000005,8.69,6,12
238,Bahrain,2012,25587,0.9,7.78,1,18
239,Bahrain,2013,26793,0.0,2.49,0,5
240,Bahrain,2014,27503,0.9,5.62,1,8
241,Barbados,1985,6137,9.09,52.629999999999995,2,5
242,Barbados,1986,6720,4.55,32.18,1,7
243,Barbados,1987,7333,8.2,21.26,2,4
244,Barbados,1988,7763,5.15,52.24,1,11
245,Barbados,1989,8541,17.03,56.55,4,12
246,Barbados,1990,8537,12.690000000000001,108.53999999999999,3,13
247,Barbados,1991,8469,19.35,57.58,4,13
248,Barbados,1992,8129,12.620000000000001,50.91,3,11
249,Barbados,1993,8540,5.29,85.64,1,15
250,Barbados,1994,8953,18.27,48.81,4,10
251,Barbados,1995,9378,20.73,51.56,5,12
252,Barbados,2000,12430,4.96,32.17,2,8
253,Barbados,2001,12348,0.0,8.65,0,2
254,Barbados,2002,12511,0.0,0.0,0,0
255,Barbados,2003,12887,0.0,0.0,0,0
256,Barbados,2004,13786,0.0,7.79,0,3
257,Barbados,2005,15230,0.0,2.58,0,1
258,Barbados,2006,16531,0.0,45.38,0,9
259,Barbados,2007,17528,0.0,0.0,0,0
260,Barbados,2008,17760,2.31,0.0,1,0
261,Barbados,2009,17007,0.0,28.8,0,5
262,Barbados,2010,17034,0.0,7.62,0,3
263,Barbados,2011,17708,0.0,0.0,0,0
264,Barbados,2012,17620,0.0,0.0,0,0
265,Barbados,2013,17395,0.0,0.0,0,0
266,Belarus,1990,2301,52.67,221.70000000000002,435,1650
267,Belarus,1991,1899,56.480000000000004,241.16,442,1727
268,Belarus,1992,1780,58.35,255.89,470,1954
269,Belarus,1993,1689,62.57,302.54,525,2360
270,Belarus,1994,1547,67.41,336.17,571,2582
271,Belarus,1995,1444,57.12,346.89,514,2689
272,Belarus,1996,1524,62.75,392.96000000000004,546,3081
273,Belarus,1997,1458,65.35,381.15,562,2964
274,Belarus,1998,1570,66.32,389.32,550,3006
275,Belarus,1999,1269,63.92,386.44,529,2868
276,Belarus,2000,1335,60.29,387.01,505,2978
277,Belarus,2001,1299,59.28,360.37,490,2813
278,Belarus,2002,1541,59.79,351.21,511,2780
279,Belarus,2003,1892,63.71,381.15,540,2916
280,Belarus,2007,4898,52.589999999999996,303.3,456,2203
281,Belarus,2008,6601,52.17,299.99,471,2187
282,Belarus,2009,5366,58.39,317.15000000000003,505,2238
283,Belarus,2010,6371,46.17,285.81,390,2069
284,Belarus,2011,6902,45.13,254.23,380,1792
285,Belarus,2013,8477,40.04,233.28,334,1568
286,Belarus,2014,8849,33.17,219.74,276,1465
287,Belgium,1985,9356,91.62,240.42,759,1522
288,Belgium,1986,12992,82.34,232.35,714,1488
289,Belgium,1987,16165,84.65,243.11,695,1543
290,Belgium,1988,17509,77.03,206.76999999999998,643,1353
291,Belgium,1989,17659,68.67,216.18,582,1338
292,Belgium,1990,22032,70.5,206.61,592,1303
293,Belgium,1991,22523,60.67,203.35,527,1278
294,Belgium,1992,25036,67.08,198.8,565,1313
295,Belgium,1993,23875,69.57,230.9,590,1552
296,Belgium,1994,25922,67.01,233.39,588,1543
297,Belgium,1995,30394,68.94,216.96,605,1550
298,Belgium,1996,29438,61.62,205.92,555,1458
299,Belgium,1997,26609,64.6,220.14,595,1551
300,Belgium,1998,27087,61.739999999999995,203.0,557,1462
301,Belgium,1999,26969,53.43,177.27,496,1361
302,Belgium,2000,24592,65.69,202.11,617,1526
303,Belgium,2001,24494,62.64,198.58,583,1582
304,Belgium,2002,26526,59.14,188.72,579,1497
305,Belgium,2003,32538,57.89,190.84,554,1537
306,Belgium,2004,37661,54.86,176.2,537,1450
307,Belgium,2005,39124,55.17,176.58,552,1477
308,Belgium,2006,41135,53.71,161.19,540,1395
309,Belgium,2007,47040,52.83,155.74,537,1320
310,Belgium,2008,51345,54.46,167.07999999999998,547,1452
311,Belgium,2009,47630,53.65,164.70000000000002,554,1459
312,Belgium,2010,47355,53.89,166.29,563,1450
313,Belgium,2011,50893,57.65,169.06,600,1488
314,Belgium,2012,47678,50.84,166.29,541,1485
315,Belgium,2013,49489,50.660000000000004,150.89,532,1363
316,Belgium,2014,50173,52.839999999999996,149.01,561,1338
317,Belgium,2015,42830,52.21,144.45000000000002,552,1315
318,Belize,1986,1552,5.62,13.75,1,2
319,Belize,1987,1920,0.0,31.41,0,4
320,Belize,1989,2372,0.0,5.16,0,1
321,Belize,1990,2614,4.98,24.72,1,2
322,Belize,1991,2742,0.0,23.93,0,2
323,Belize,1993,3278,0.0,6.49,0,1
324,Belize,1994,3399,52.3,112.43,1,7
325,Belize,1995,3436,4.29,139.68,1,13
326,Belize,1996,3545,0.0,61.290000000000006,0,8
327,Belize,1997,3487,0.0,5.77,0,1
328,Belize,1998,3531,5.63,76.15,1,11
329,Belize,1999,3615,0.0,83.72,0,18
330,Belize,2000,3960,18.3,142.5,4,14
331,Belize,2001,4013,8.83,142.87,2,17
332,Belize,2002,4161,19.939999999999998,49.68,5,9
333,Belize,2003,4289,16.43,42.57,4,8
334,Belize,2004,4449,13.14,104.24,1,19
335,Belize,2005,4547,3.51,42.59,1,11
336,Belize,2006,4815,6.15,31.77,2,9
337,Belize,2007,4951,6.8100000000000005,71.68,2,6
338,Belize,2008,5098,4.14,82.22,1,10
339,Belize,2009,4841,13.45,44.31,4,11
340,Belize,2010,4923,6.09,55.39,2,13
341,Belize,2011,5098,14.78,138.52,5,28
342,Belize,2012,5264,5.77,67.68,2,16
343,Belize,2013,5272,2.81,53.589999999999996,1,16
344,Belize,2014,5448,16.78,74.17,6,18
345,Belize,2015,5561,15.13,120.33,4,22
346,Bosnia and Herzegovina,2011,5076,0.0,1.31,0,5
347,Bosnia and Herzegovina,2014,5079,22.02,87.48,70,243
348,Brazil,1985,1898,13.08,46.1,1066,3162
349,Brazil,1986,2257,13.36,43.8,1154,3117
350,Brazil,1987,2394,13.32,56.8,1163,3509
351,Brazil,1988,2628,14.75,50.61,1139,3327
352,Brazil,1989,3310,13.01,51.01,1071,3392
353,Brazil,1990,3516,13.43,53.63,1214,3589
354,Brazil,1991,4490,13.120000000000001,55.22,1195,3961
355,Brazil,1992,2924,11.97,52.95,1174,4033
356,Brazil,1993,3136,11.65,56.21,1187,4321
357,Brazil,1994,3925,12.39,59.12,1291,4605
358,Brazil,1995,5313,13.18,62.059999999999995,1401,5135
359,Brazil,1996,5771,13.33,60.0,1398,5300
360,Brazil,1997,5891,12.51,64.29,1417,5474
361,Brazil,1998,5663,13.0,62.05,1445,5477
362,Brazil,1999,3864,10.14,57.51,1226,5281
363,Brazil,2000,4156,11.43,56.8,1380,5383
364,Brazil,2001,3492,11.73,61.76,1557,6153
365,Brazil,2002,3121,13.24,56.53,1694,6003
366,Brazil,2003,3376,11.870000000000001,56.2,1605,6234
367,Brazil,2004,3984,12.18,58.04,1703,6292
368,Brazil,2005,5230,12.55,61.05,1804,6725
369,Brazil,2006,6403,11.959999999999999,57.94,1801,6817
370,Brazil,2007,7970,12.25,59.43,1871,6984
371,Brazil,2008,9555,12.33,59.88,1918,7266
372,Brazil,2009,9283,11.93,58.44,1873,7473
373,Brazil,2010,12161,13.379999999999999,59.35,2073,7356
374,Brazil,2011,14245,13.02,59.39,2088,7734
375,Brazil,2012,13283,13.870000000000001,60.580000000000005,2254,8041
376,Brazil,2013,13191,13.559999999999999,59.85,2223,8290
377,Brazil,2014,12975,13.24,59.89,2233,8398
378,Brazil,2015,9431,14.06,63.39,2397,8766
379,Bulgaria,1985,2044,78.77,224.35,422,1034
380,Bulgaria,1986,2413,80.15,195.33,433,975
381,Bulgaria,1987,3355,79.21,229.19,429,1063
382,Bulgaria,1988,2688,79.33,213.16,427,1025
383,Bulgaria,1989,2617,74.8,217.39,419,1041
384,Bulgaria,1990,2451,71.85,184.57999999999998,403,920
385,Bulgaria,1991,1298,62.57,206.37,383,1001
386,Bulgaria,1992,1287,78.44,232.16,411,1108
387,Bulgaria,1993,1354,82.80000000000001,195.56,447,1023
388,Bulgaria,1994,1213,74.64,213.75,416,1048
389,Bulgaria,1995,1636,72.46,205.39,413,1020
390,Bulgaria,1996,1270,74.39,221.81,415,1111
391,Bulgaria,1997,1411,78.44,197.92,463,1002
392,Bulgaria,1998,1852,86.36,218.25,448,1055
393,Bulgaria,1999,1715,57.83,192.88,342,965
394,Bulgaria,2000,1680,66.89999999999999,192.32,382,1001
395,Bulgaria,2001,1854,63.88,180.74,363,951
396,Bulgaria,2002,2157,58.71,188.64,336,981
397,Bulgaria,2003,2800,49.11,158.54000000000002,292,800
398,Bulgaria,2004,3485,41.18,142.94,267,746
399,Bulgaria,2005,4003,43.65,134.41,255,727
400,Bulgaria,2006,4638,38.559999999999995,147.97,225,752
401,Bulgaria,2007,6073,40.1,133.67,239,663
402,Bulgaria,2008,7487,39.56,130.78,245,694
403,Bulgaria,2009,7186,33.73,120.69,206,662
404,Bulgaria,2010,7066,33.14,125.11,210,649
405,Bulgaria,2011,8137,25.98,107.54,158,605
406,Bulgaria,2012,7745,33.38,130.79,199,673
407,Bulgaria,2013,8057,24.93,109.23,148,573
408,Bulgaria,2014,8241,30.31,109.46,172,552
409,Cabo Verde,2011,4124,15.92,117.92,5,37
410,Canada,1985,15522,32.47,133.99,693,2565
411,Canada,1986,16062,37.61,152.5,820,2850
412,Canada,1987,18124,37.18,142.15,799,2792
413,Canada,1988,21069,34.83,140.55,776,2734
414,Canada,1989,23188,34.75,136.23,796,2695
415,Canada,1990,24041,29.98,135.04,705,2673
416,Canada,1991,24038,29.830000000000002,137.95,718,2875
417,Canada,1992,22393,31.53,132.07,786,2922
418,Canada,1993,21421,32.36,131.66,789,3014
419,Canada,1994,21219,30.18,131.73,780,2968
420,Canada,1995,21871,30.43,133.09,812,3156
421,Canada,1996,22686,30.29,132.6,848,3093
422,Canada,1997,23245,28.6,122.83,767,2914
423,Canada,1998,22268,29.51,120.61,774,2925
424,Canada,1999,23572,30.29,128.15,850,3224
425,Canada,2000,25589,28.1,110.9,808,2798
426,Canada,2001,25165,28.73,108.7,823,2871
427,Canada,2002,25570,27.53,110.2,799,2851
428,Canada,2003,29787,28.91,108.36,862,2903
429,Canada,2004,33787,29.15,102.51,879,2734
430,Canada,2005,38218,30.23,103.61,886,2857
431,Canada,2006,42566,27.32,99.11,817,2695
432,Canada,2007,46890,29.14,98.31,884,2727
433,Canada,2008,49041,29.24,98.35000000000001,928,2777
434,Canada,2009,42933,28.76,101.91,901,2989
435,Canada,2010,49974,30.79,101.88,970,2981
436,Canada,2011,54841,30.33,94.69,947,2781
437,Canada,2012,55347,29.71,98.17,954,2972
438,Canada,2013,55310,31.91,101.17999999999999,1013,3041
439,Chile,1985,1658,12.9,96.01,111,572
440,Chile,1986,1728,13.03,77.91,122,532
441,Chile,1987,1985,11.81,77.61,125,568
442,Chile,1988,2303,12.19,82.71,117,580
443,Chile,1989,2599,10.14,90.3,99,626
444,Chile,1990,2828,11.18,80.68,109,634
445,Chile,1991,3187,13.530000000000001,85.3,133,654
446,Chile,1992,3791,8.04,70.84,96,562
447,Chile,1993,4006,9.56,93.62,116,624
448,Chile,1994,4551,9.24,86.1,97,704
449,Chile,1995,5695,12.01,96.9,123,807
450,Chile,1996,5946,10.950000000000001,84.76,121,796
451,Chile,1997,6368,11.66,88.47,134,776
452,Chile,1998,6023,12.67,97.1,132,899
453,Chile,1999,5470,12.17,99.69,138,903
454,Chile,2000,5584,16.87,132.31,207,1266
455,Chile,2001,5020,17.98,129.6,233,1392
456,Chile,2002,4866,20.32,128.96,246,1357
457,Chile,2003,5208,20.49,133.04999999999998,252,1402
458,Chile,2004,6744,20.55,135.14,263,1472
459,Chile,2005,8256,19.98,127.45,279,1403
460,Chile,2006,10270,20.72,134.34,297,1498
461,Chile,2007,11387,24.93,125.99000000000001,352,1496
462,Chile,2008,11653,29.35,138.53,414,1674
463,Chile,2009,11062,29.44,144.85999999999999,424,1724
464,Chile,2010,13874,25.759999999999998,137.12,383,1618
465,Chile,2011,15854,24.91,135.93,370,1657
466,Chile,2012,16617,21.67,126.74000000000001,331,1510
467,Chile,2013,17140,21.29,113.23,318,1420
468,Chile,2014,15883,19.96,117.41,314,1475
469,Chile,2015,14729,25.77,121.91,378,1460
470,Colombia,1985,1393,10.06,52.5,218,783
471,Colombia,1986,1366,8.290000000000001,41.82,218,740
472,Colombia,1987,1299,7.32,37.85,195,756
473,Colombia,1988,1369,7.63,43.01,171,741
474,Colombia,1989,1350,7.05,34.64,178,653
475,Colombia,1990,1346,7.7,35.73,200,665
476,Colombia,1991,1348,7.720000000000001,35.85,212,798
477,Colombia,1992,1664,7.84,41.64,236,850
478,Colombia,1993,1845,7.21,42.019999999999996,214,871
479,Colombia,1994,2646,9.4,46.55,268,930
480,Colombia,1995,2796,8.13,41.51,261,889
481,Colombia,1996,2883,8.38,44.79,258,951
482,Colombia,1997,3106,8.9,43.87,281,961
483,Colombia,1998,2814,14.42,67.26,500,1552
484,Colombia,1999,2419,13.92,70.17999999999999,493,1650
485,Colombia,2000,2755,15.73,74.05,543,1815
486,Colombia,2001,2662,15.78,72.49,557,1855
487,Colombia,2002,2613,15.540000000000001,65.84,564,1815
488,Colombia,2003,2489,16.16,63.69,577,1692
489,Colombia,2004,3033,14.530000000000001,69.72,501,1743
490,Colombia,2005,3742,12.67,62.17,465,1637
491,Colombia,2006,4095,12.299999999999999,66.11,460,1717
492,Colombia,2007,5150,11.56,62.69,454,1727
493,Colombia,2008,5971,11.71,62.51,448,1772
494,Colombia,2009,5643,11.440000000000001,62.39,447,1802
495,Colombia,2010,6836,10.12,57.12,397,1710
496,Colombia,2011,7885,9.54,53.339999999999996,382,1662
497,Colombia,2012,8586,9.98,56.47,387,1732
498,Colombia,2013,8731,10.05,53.48,405,1663
499,Colombia,2014,8591,9.3,57.32,371,1755
500,Colombia,2015,6552,12.4,58.0,482,1850
501,Costa Rica,1985,2145,7.08,62.38,16,112
502,Costa Rica,1986,2389,5.64,84.2,13,118
503,Costa Rica,1987,2433,8.66,76.9,22,97
504,Costa Rica,1988,2460,6.44,82.53999999999999,17,121
505,Costa Rica,1989,2686,11.959999999999999,72.81,31,136
506,Costa Rica,1990,2817,11.3,81.97,18,139
507,Costa Rica,1991,2651,6.71,55.01,19,106
508,Costa Rica,1992,3070,9.02,63.52,23,126
509,Costa Rica,1993,3342,10.42,88.41,27,137
510,Costa Rica,1994,3562,10.86,69.93,29,133
511,Costa Rica,1995,3672,12.45,66.73,36,173
512,Costa Rica,1996,3639,8.02,86.84,24,185
513,Costa Rica,1997,3827,10.69,69.94,28,159
514,Costa Rica,1998,4046,9.05,83.04,23,200
515,Costa Rica,1999,4115,6.97,78.09,23,210
516,Costa Rica,2000,4233,10.6,77.69,28,211
517,Costa Rica,2001,4412,9.35,66.67999999999999,28,170
518,Costa Rica,2002,4485,10.91,84.71,39,236
519,Costa Rica,2003,4583,14.28,101.6,53,262
520,Costa Rica,2004,4850,13.709999999999999,87.01,44,281
